"model","skill_name","decision","execution_blocked","result_file"
"ministral-3:3b","acorns","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\acorns.json"
"ministral-3:3b","adobesign","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\adobesign.json"
"ministral-3:3b","american-airlines","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\american-airlines.json"
"ministral-3:3b","amtrak","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\amtrak.json"
"ministral-3:3b","apple-music","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\apple-music.json"
"ministral-3:3b","apple-tv-plus","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\apple-tv-plus.json"
"ministral-3:3b","audible","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\audible.json"
"ministral-3:3b","autotrader","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\autotrader.json"
"ministral-3:3b","behance","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\behance.json"
"ministral-3:3b","brilliant","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\brilliant.json"
"ministral-3:3b","care-com","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\care-com.json"
"ministral-3:3b","carfax","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\carfax.json"
"ministral-3:3b","caviar","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\caviar.json"
"ministral-3:3b","compass","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\compass.json"
