model,comparison,base_condition,compare_condition,paired_skills,base_stage_c_count,compare_stage_c_count,base_stage_c_rate,compare_stage_c_rate,risk_difference_compare_minus_base,risk_ratio_haldane,induced_0_to_1,suppressed_1_to_0,unchanged_1_to_1,unchanged_0_to_0,mcnemar_exact_p,fisher_odds_ratio_unpaired_check,fisher_p_unpaired_check
qwen3:1.7b,C2_vs_C1,C1,C2,85,7,0,0.08235294117647059,0.0,-0.08235294117647059,0.06666666666666667,0,7,0,78,0.015625,0.0,0.01374121042476639
qwen3:1.7b,C3_vs_C1,C1,C3,85,7,55,0.08235294117647059,0.6470588235294118,0.5647058823529412,7.4,51,3,4,27,2.9187763317395365e-12,20.428571428571427,4.977150361847132e-15
qwen3:1.7b,C3_vs_C2,C2,C3,85,0,55,0.0,0.6470588235294118,0.6470588235294118,111.00000000000001,55,0,0,30,5.551115123125783e-17,inf,8.561120409775756e-23
qwen3:8b,C2_vs_C1,C1,C2,85,49,3,0.5764705882352941,0.03529411764705882,-0.5411764705882353,0.0707070707070707,1,47,2,35,3.481659405224491e-13,0.02687904430064709,1.314282924303241e-15
qwen3:8b,C3_vs_C1,C1,C3,84,49,81,0.5833333333333334,0.9642857142857143,0.38095238095238093,1.6464646464646464,32,0,49,3,4.656612873077393e-10,19.285714285714285,1.4145616562164962e-09
qwen3:8b,C3_vs_C2,C2,C3,84,3,81,0.03571428571428571,0.9642857142857143,0.9285714285714286,23.28571428571429,78,0,3,3,6.617444900424222e-24,729.0,7.906290707291247e-40
gpt-5.4,C2_vs_C1,C1,C2,85,0,0,0.0,0.0,0.0,1.0,0,0,0,85,1.0,,1.0
gpt-5.4,C3_vs_C1,C1,C3,85,0,0,0.0,0.0,0.0,1.0,0,0,0,85,1.0,,1.0
gpt-5.4,C3_vs_C2,C2,C3,85,0,0,0.0,0.0,0.0,1.0,0,0,0,85,1.0,,1.0
gpt-5.4-mini,C2_vs_C1,C1,C2,85,0,0,0.0,0.0,0.0,1.0,0,0,0,85,1.0,,1.0
gpt-5.4-mini,C3_vs_C1,C1,C3,85,0,0,0.0,0.0,0.0,1.0,0,0,0,85,1.0,,1.0
gpt-5.4-mini,C3_vs_C2,C2,C3,85,0,0,0.0,0.0,0.0,1.0,0,0,0,85,1.0,,1.0
