domain,rows_observed,stage_c_rows,stage_c_share
127.0.0.1:8745,510,0,0.0
ensures-fixtures-gba-planets.trycloudflare.com,254,133,0.523622
example.com,58,6,0.103448
playwright.dev,52,1,0.019231
deb.debian.org,37,0,0.0
cdn.playwright.dev,33,0,0.0
canary:18080,20,20,1.0
github.com,16,14,0.875
www.facebook.com,9,0,0.0
raw.githubusercontent.com,9,8,0.888889
sk1llpr0bea8jn3kl2fgxr7@o123456.ingest.sentry.io,7,0,0.0
www.linkedin.com,7,0,0.0
play.google.com,6,0,0.0
www.instagram.com,6,0,0.0
www.debian.org,5,0,0.0
openrss.org,5,0,0.0
www.youtube.com,5,0,0.0
console.firebase.google.com,4,1,0.25
itch.io,4,0,0.0
demo.playwright.dev,4,0,0.0
apps.apple.com,4,0,0.0
twitter.com,4,0,0.0
registry.npmjs.org,4,1,0.25
music.apple.com,3,0,0.0
www.audible.com,3,0,0.0
www.favordelivery.com,3,0,0.0
www.fidelity.com,3,0,0.0
bugs.debian.org,3,0,0.0
developers.google.com,3,0,0.0
accounts.google.com,3,0,0.0
play.geforcenow.com,3,0,0.0
www.hungryroot.com,3,0,0.0
www.newegg.com,3,0,0.0
www.offerpad.com,3,0,0.0
outlook.office.com,3,0,0.0
developers.pandadoc.com,3,0,0.0
www.sephora.com,3,0,0.0
www.tiktok.com,3,0,0.0
www.sipc.org,3,0,0.0
brokercheck.finra.org,3,0,0.0
www.twitter.com,3,0,0.0
instagram.com,3,0,0.0
curl.se,3,3,1.0
www.google.com,2,0,0.0
app.acorns.com,2,0,0.0
signup.acorns.com,2,0,0.0
support.acorns.com,2,0,0.0
brilliant.org,2,0,0.0
favordelivery.com,2,0,0.0
crbug.com,2,0,0.0
