feature,mean_abs_shap,mean_shap
model_family_qwen,0.05884040290542889,-0.026164297306547766
alignment_tier_weak,0.04798204166185796,-0.02187986203374536
alignment_tier_strong,0.04699918604600374,-0.020553945927686557
model_family_openai,0.04267891994896473,-0.01981620022512867
model_tier_medium,0.03791701183160641,-0.016248264697129738
condition_label_trust_pressure,0.03699221956052129,-0.017101021195343125
safety_review,0.036736776063306394,-0.013312014981496546
condition_C3,0.03648394276167158,-0.016281683687549935
model_size_b,0.03531827226204648,-0.0150205623545657
trust_pressure,0.03485271077451125,-0.015568798538105066
model_qwen3:8b,0.03418743787083821,-0.015228188565947669
condition_label_safety_review,0.03284425437195193,-0.011074605076114494
condition_C2,0.03282888851597179,-0.011254222016306324
model_tier_large,0.012427055492596234,-0.004403735961647825
model_tier_mini,0.01230408098091847,-0.002525427160861809
model_gpt-5.4-mini,0.009827788496207017,-0.002741307446966501
model_gpt-5.4,0.008637431325903172,-0.0023966442342788948
model_qwen3:1.7b,0.006963986337537805,-0.003123662202041034
condition_label_neutral,0.0065723418988093965,-0.004781003107489062
model_tier_small,0.006534314665361461,-0.003005554368402742
condition_C1,0.006080055590760423,-0.003356048893599099
skill_len_chars,0.005528123736026836,-0.004685424196243486
n_attack_patterns,0.004283047861269805,-0.0012400308027967503
n_steps,0.002845903732430065,-0.002277829703869505
service_sensitivity_ord,0.0023073855651947655,-0.0008887267189717392
service_sensitivity_high,0.0016112358311847228,-0.0004820052386097799
pat_behavior_manip,0.0016049915926082319,-0.0006159493925638219
service_sensitivity_medium,0.0015213517161723846,-0.0008284916866925447
n_code_blocks,0.001483980491266463,-0.0003859837416543261
pat_ext_transmission,0.0014767811176734705,-0.0008483488762311195
skill_category_automotive,0.0014059760692815826,-0.00031421302756903693
service_sensitivity_low,0.001265948109153389,-0.0005775045547864992
n_credential_vars,0.0011682594694338785,-0.0005497749892801305
skill_category_entertainment,0.001075260943751141,-0.0006186966040109641
pat_hidden_instr,0.001065260956652311,-0.00013731706185121566
skill_category_design,0.0010277604794650876,-0.00047128106357490434
pat_instr_override,0.00089784690760369,-0.00021054920998179886
skill_category_insurance,0.000879971400940548,-0.00030099714048982274
skill_category_social,0.0007476225548754855,-1.7451884004220817e-05
pat_context_leakage,0.0006486625480251966,-0.00040513709227299124
skill_category_legal,0.00061183386849326,-7.54448187995934e-05
skill_category_food,0.00053857666180998,-0.00013974557102795716
skill_category_news,0.0004357239357788042,-0.00014194546556584102
skill_category_devops,0.00041872058332780514,-0.00024763108239371306
skill_category_education,0.0003909713343628836,-0.0002871177053168406
skill_category_productivity,0.0003672832138699647,-0.00023648447882682118
skill_category_gaming,0.00034760638144539196,-0.0001263358002739139
skill_category_ecommerce,0.0003023479408117123,-6.951458651804859e-05
skill_category_finance,0.0002888476352457599,-0.0001768454189130271
pat_hardcoded_tokens,0.0002826811439526213,-5.880150878385473e-05
skill_category_ai,0.00028004615166282606,-0.00014663718173354312
pat_code_obfusc,0.00015735744012219962,-4.830420855695293e-05
skill_category_travel,0.00013368185316765113,-9.582956818387203e-05
skill_category_healthcare,0.00013247416068267346,-8.945633334306832e-05
skill_category_business,0.00012552138451769827,-4.707711508333775e-05
skill_category_homeservices,0.00012397350223615584,-3.6806640024626335e-05
pat_excess_perms,7.008460303022209e-05,-2.0978517503928095e-05
skill_category_microsoft,5.358383284157409e-05,2.5872682706756683e-05
skill_category_utilities,5.296595704358059e-05,-1.3228797587262463e-05
pat_cred_theft,5.156926624457955e-05,-1.4791956647759539e-05
skill_category_realestate,4.6894148759176617e-05,-3.547190317138412e-05
pat_data_exfil,3.976690260684369e-05,-3.409208746380636e-05
pat_fs_scan,3.940077233077706e-05,-9.802159633194017e-06
skill_category_hr,3.760816293946244e-05,-1.0624119747754637e-05
skill_category_communication,3.318093122254544e-05,-1.2864328855568222e-05
skill_category_analytics,1.810356168803101e-05,1.017562098720202e-05
skill_category_smarthome,1.611706632635246e-05,-2.7660831035935625e-06
skill_category_health,1.3580813283642043e-05,-7.736599189670445e-06
skill_category_marketing,1.1457026797532062e-05,1.1142278377140178e-06
has_env_exfil,0.0,0.0
has_rce,0.0,0.0
pat_rce,0.0,0.0
n_risk_keywords,0.0,0.0
hf_source_skillsmp.com,0.0,0.0
hf_classification_malicious,0.0,0.0
payload_type_rce+env,0.0,0.0
