feature,mean_abs_shap,mean_shap
condition_label_safety_review,0.04686705517275679,-0.011574639298509914
condition_C2,0.04405929331389493,-0.010530547706467119
safety_review,0.04264643798483754,-0.010834090287243957
condition_label_trust_pressure,0.0420882568191347,-0.010264641569609016
trust_pressure,0.041259947384509714,-0.010467380584977816
alignment_tier_strong,0.03965429600888314,-0.012955476427497026
condition_C3,0.037065972505189566,-0.0096079826446498
model_family_openai,0.035380151613918547,-0.010802951719194142
model_tier_large,0.035347171616687406,-0.01056984380055558
model_gpt-5.4,0.03499332446376089,-0.011161629309539635
model_qwen3:8b,0.033487550961189445,-0.01232802559328272
model_tier_medium,0.03299075115672707,-0.012579415999292576
model_family_qwen,0.028642132224682496,-0.008516749050890157
alignment_tier_weak,0.02344719527461671,-0.007195742449268326
model_qwen3:1.7b,0.012880649525734682,-0.001962355145998163
model_size_b,0.01170469234812539,-0.0020269112624866853
model_tier_small,0.011410683845213838,-0.0024129946383719477
condition_label_neutral,0.007964190476210272,-0.0027005413940263032
n_attack_patterns,0.006583049432656356,-0.0017807853408236874
skill_len_chars,0.0065644780887335425,-0.0044910779587451835
condition_C1,0.006341560793478186,-0.0020988455032580795
n_steps,0.004804002136963884,-0.0022323845189864892
pat_ext_transmission,0.003952348840740694,-0.000938906826046571
service_sensitivity_medium,0.002848990864023523,-0.00046112430488328196
n_credential_vars,0.00225676930628353,-0.001166533661176455
service_sensitivity_ord,0.002216540934436666,-0.0007421515954653692
service_sensitivity_high,0.0020389741458899623,-6.573726526518552e-05
pat_behavior_manip,0.001871438607576852,-0.000966995654364236
service_sensitivity_low,0.0018548672813753977,-0.0006472530926796069
n_code_blocks,0.001852858360949488,-0.0007609086287909795
skill_category_automotive,0.0012724690813606641,-2.5407978501797464e-05
skill_category_gaming,0.0010045734034916064,-0.0004175550749257319
pat_context_leakage,0.0010009252072202181,-0.0006058230067814274
skill_category_finance,0.0008636195011183506,-0.0005983708368148068
pat_hidden_instr,0.000794456223198804,-9.128618322027288e-05
skill_category_insurance,0.0007886221108674998,8.573354501413452e-05
skill_category_ecommerce,0.0007290264830572563,-0.0003719978151921713
skill_category_entertainment,0.0006608420338091282,-0.00035689610896490865
pat_instr_override,0.0006434357197740372,-0.0004599828269090506
skill_category_travel,0.0005203622587557988,-0.00013376425052660372
skill_category_ai,0.0005104198757894793,-0.0005099471396794705
skill_category_education,0.0004815356352771997,-0.00018748685079671265
skill_category_social,0.0004480805299534295,4.3070046252571684e-05
skill_category_devops,0.0004374888259892921,-0.0002192162663547367
skill_category_food,0.00038202160901727066,-0.0001638382701421124
pat_code_obfusc,0.00037398234770510063,-0.00019678744099457308
skill_category_news,0.0002902731502448229,0.00012224639034923583
skill_category_healthcare,0.00024764507311014164,-8.912411678177286e-05
skill_category_homeservices,0.00023861296812178543,-4.789496460865264e-05
pat_excess_perms,0.00019348363539201279,-1.83399046420911e-05
pat_cred_theft,0.00018582248969091188,-2.5437753504080423e-06
pat_hardcoded_tokens,0.0001392564756557716,2.5206514017294805e-05
skill_category_realestate,0.00013175030047498499,-5.6421496269455916e-05
skill_category_design,0.00012535006681730783,-2.816949639559183e-05
skill_category_productivity,0.00012425767141120283,-0.00011981912535793245
skill_category_legal,0.00011682100738162886,-3.241265239517715e-06
skill_category_health,0.00011079578068578282,7.908340687403059e-06
skill_category_business,8.337148570897094e-05,-2.4611192446951626e-05
skill_category_marketing,7.821327676537526e-05,-1.1674216028895873e-06
skill_category_microsoft,6.071946309568153e-05,-5.107729629086471e-05
skill_category_smarthome,5.1398530954739544e-05,-4.281302708524618e-06
skill_category_communication,3.612571999744293e-05,-9.864103642042579e-06
pat_fs_scan,2.6640625646085685e-05,-3.788051170942314e-06
pat_data_exfil,2.6391586753501006e-05,-1.1140058737250482e-06
skill_category_analytics,2.3987005143237415e-05,-1.0548411047039135e-05
skill_category_utilities,1.1688874792354292e-05,3.0401020005170687e-06
skill_category_hr,8.870297048239537e-06,4.492401909522703e-06
payload_type_rce+env,0.0,0.0
has_env_exfil,0.0,0.0
hf_source_skillsmp.com,0.0,0.0
hf_classification_malicious,0.0,0.0
has_rce,0.0,0.0
n_risk_keywords,0.0,0.0
pat_rce,0.0,0.0
